customer_unique_id,customer_city,customer_state,total_orders,total_spent,avg_order_value,first_order_date,last_order_date,customer_lifespan_days
da122df9eeddfedc1dc1f5349a1a690c,araruama,RJ,2,7571.63,3785.82,"2017-04-01 15:58:40","2017-04-01 15:58:41",0
c8460e4251689ba205045f3ea17884a1,"porto alegre",RS,4,4655.91,1163.98,"2018-08-07 09:03:02","2018-08-08 14:27:15",1
59d66d72939bc9497e19d89c61a96d5f,"sao paulo",SP,2,3559.99,1780.00,"2017-03-02 12:13:18","2017-08-10 22:09:50",161
eae0a83d752b1dd32697e0e7b4221656,"cicero dantas",BA,2,2783.01,1391.51,"2018-02-01 18:32:02","2018-04-24 17:06:54",82
d77aa95864ae5b42160937615628723a,"riachao do jacuipe",BA,2,2450.10,1225.05,"2017-08-29 22:35:42","2017-08-29 22:38:40",0
86df00dc5fd68f4dd5d5945ca19f3ed6,"porto alegre",RS,3,2400.48,800.16,"2017-06-08 10:49:42","2017-10-13 16:10:18",127
7b0eaf68a16e4808e5388c67345033c9,"ferraz de vasconcelos",SP,2,2340.08,1170.04,"2018-05-19 11:16:55","2018-05-19 11:30:35",0
6ddbc64bd04d40f7768ff088d94cbeb8,campinas,SP,2,2299.66,1149.83,"2018-04-09 22:58:05","2018-04-09 22:58:05",0
1da09dd64e235e7c2f29a4faff33535c,niteroi,RJ,3,2164.40,721.47,"2017-05-10 14:04:15","2018-01-11 11:16:49",246
73601b1eec55943e90ce8d61253d5c09,"belo horizonte",MG,2,2068.68,1034.34,"2017-09-26 17:29:19","2017-11-01 13:39:49",36
906a8a4ec9f3d4c3e64fa6d1c4fe6009,"sao jose do rio preto",SP,2,2020.86,1010.43,"2018-07-05 00:58:05","2018-07-20 04:05:49",15
0341bbd5c969923a0f801b9e2d10a7b8,petropolis,RJ,2,1999.68,999.84,"2018-05-28 14:18:26","2018-05-30 13:00:03",2
cef29e793e232d30250331804cdb7000,"belo horizonte",MG,3,1906.68,635.56,"2017-03-09 18:15:38","2018-01-18 19:59:07",315
798c34ffa9047399853eab8ca7c0b9a0,lavras,MG,2,1812.19,906.10,"2017-12-04 22:02:12","2017-12-04 22:28:27",0
525cda9909aa001ebed396f6e55eae01,timbo,SC,2,1782.90,891.45,"2018-07-13 12:21:43","2018-08-07 21:57:02",25
4facc2e6fbc2bffab2fea92d2b4aa7e4,"porto alegre",RS,4,1760.75,440.19,"2017-06-18 23:14:46","2018-08-13 22:51:49",421
397b44d5bb99eabf54ea9c2b41ebb905,niteroi,RJ,4,1756.53,351.31,"2018-01-11 12:16:24","2018-06-17 19:21:01",157
a1044dd75b74fbc485b040575a14acf0,"cerqueira cesar",SP,2,1737.88,868.94,"2017-12-12 18:19:22","2017-12-20 23:22:55",8
5a494c648fde2d1ec4eb614274ea7159,irece,BA,2,1703.38,851.69,"2018-03-08 19:06:05","2018-03-08 19:06:08",0
c169c9937db997a267f749cdd64c161f,curitiba,PR,2,1675.68,837.84,"2017-05-09 14:33:43","2017-05-09 14:41:10",0
